"StichtagDatJahr","QuarSort","QuarCd","QuarLang","AlterVSort","AlterVKurz","AlterV05Sort","AlterV05Kurz","AnzBestWir"
2015,33,033,"Friesenberg",92,92,19,"90-94",24
2015,81,081,"Seefeld",75,75,16,"75-79",39
2015,51,051,"Gewerbeschule",84,84,17,"80-84",16
2015,24,024,"Enge",92,92,19,"90-94",15
2015,34,034,"Sihlfeld",98,98,20,"95-99",6
2015,83,083,"Weinegg",95,95,20,"95-99",8
2015,122,122,"Schwamendingen-Mitte",98,98,20,"95-99",3
2015,44,044,"Hard",97,97,20,"95-99",4
2015,82,082,"Mühlebach",84,84,17,"80-84",18
2015,121,121,"Saatlen",84,84,17,"80-84",16
2015,44,044,"Hard",9,9,2,"5-9",80
2015,12,012,"Hochschulen",88,88,18,"85-89",8
2015,44,044,"Hard",81,81,17,"80-84",37
2015,72,072,"Hottingen",96,96,20,"95-99",8
2015,119,119,"Seebach",97,97,20,"95-99",2
2015,92,092,"Altstetten",98,98,20,"95-99",5
2015,34,034,"Sihlfeld",78,78,16,"75-79",72
2015,44,044,"Hard",89,89,18,"85-89",31
2015,82,082,"Mühlebach",77,77,16,"75-79",32
2015,42,042,"Langstrasse",94,94,19,"90-94",1
2015,11,011,"Rathaus",97,97,20,"95-99",1
2015,41,041,"Werd",81,81,17,"80-84",11
2015,123,123,"Hirzenbach",75,75,16,"75-79",65
2015,52,052,"Escher Wyss",77,77,16,"75-79",9
2015,12,012,"Hochschulen",83,83,17,"80-84",4
2015,123,123,"Hirzenbach",86,86,18,"85-89",61
2015,111,111,"Affoltern",88,88,18,"85-89",64
2015,81,081,"Seefeld",85,85,18,"85-89",21
2015,92,092,"Altstetten",73,73,15,"70-74",224
2015,73,073,"Hirslanden",90,90,19,"90-94",24
2015,83,083,"Weinegg",84,84,17,"80-84",25
2015,122,122,"Schwamendingen-Mitte",86,86,18,"85-89",51
2015,13,013,"Lindenhof",9,9,2,"5-9",4
2015,72,072,"Hottingen",88,88,18,"85-89",41
2015,122,122,"Schwamendingen-Mitte",96,96,20,"95-99",2
2015,81,081,"Seefeld",93,93,19,"90-94",4
2015,83,083,"Weinegg",9,9,2,"5-9",39
2015,41,041,"Werd",89,89,18,"85-89",11
2015,73,073,"Hirslanden",96,96,20,"95-99",14
2015,24,024,"Enge",95,95,20,"95-99",12
2015,61,061,"Unterstrass",99,99,20,"95-99",3
2015,61,061,"Unterstrass",98,98,20,"95-99",5
2015,111,111,"Affoltern",99,99,20,"95-99",3
2015,121,121,"Saatlen",82,82,17,"80-84",25
2015,14,014,"City",88,88,18,"85-89",2
2015,12,012,"Hochschulen",70,70,15,"70-74",6
2015,61,061,"Unterstrass",76,76,16,"75-79",80
2015,33,033,"Friesenberg",86,86,18,"85-89",49
2015,13,013,"Lindenhof",96,96,20,"95-99",0
2015,41,041,"Werd",91,91,19,"90-94",10
2015,11,011,"Rathaus",84,84,17,"80-84",13
2015,31,031,"Alt-Wiedikon",74,74,15,"70-74",91
2015,52,052,"Escher Wyss",72,72,15,"70-74",12
2015,102,102,"Wipkingen",83,83,17,"80-84",65
2015,14,014,"City",75,75,16,"75-79",4
2015,33,033,"Friesenberg",83,83,17,"80-84",54
2015,121,121,"Saatlen",71,71,15,"70-74",49
2015,31,031,"Alt-Wiedikon",86,86,18,"85-89",47
2015,123,123,"Hirzenbach",89,89,18,"85-89",43
2015,34,034,"Sihlfeld",93,93,19,"90-94",21
2015,12,012,"Hochschulen",95,95,20,"95-99",1
2015,91,091,"Albisrieden",90,90,19,"90-94",72
2015,74,074,"Witikon",87,87,18,"85-89",71
2015,34,034,"Sihlfeld",95,95,20,"95-99",19
2015,81,081,"Seefeld",78,78,16,"75-79",28
2015,102,102,"Wipkingen",9,9,2,"5-9",92
2015,82,082,"Mühlebach",90,90,19,"90-94",16
2015,14,014,"City",9,9,2,"5-9",1
2015,74,074,"Witikon",83,83,17,"80-84",96
2015,11,011,"Rathaus",89,89,18,"85-89",8
2015,11,011,"Rathaus",74,74,15,"70-74",28
2015,72,072,"Hottingen",9,9,2,"5-9",83
2015,21,021,"Wollishofen",9,9,2,"5-9",91
2015,74,074,"Witikon",99,99,20,"95-99",1
2015,24,024,"Enge",93,93,19,"90-94",17
2015,44,044,"Hard",96,96,20,"95-99",7
2015,44,044,"Hard",95,95,20,"95-99",9
2015,81,081,"Seefeld",84,84,17,"80-84",20
2015,51,051,"Gewerbeschule",95,95,20,"95-99",4
2015,73,073,"Hirslanden",83,83,17,"80-84",41
2015,24,024,"Enge",70,70,15,"70-74",54
2015,51,051,"Gewerbeschule",78,78,16,"75-79",33
2015,102,102,"Wipkingen",88,88,18,"85-89",47
2015,123,123,"Hirzenbach",97,97,20,"95-99",2
2015,102,102,"Wipkingen",91,91,19,"90-94",32
2015,82,082,"Mühlebach",87,87,18,"85-89",13
2015,74,074,"Witikon",92,92,19,"90-94",26
2015,14,014,"City",82,82,17,"80-84",4
2015,82,082,"Mühlebach",95,95,20,"95-99",4
2015,63,063,"Oberstrass",91,91,19,"90-94",25
2015,13,013,"Lindenhof",75,75,16,"75-79",17
2015,33,033,"Friesenberg",97,97,20,"95-99",5
2015,11,011,"Rathaus",92,92,19,"90-94",1
2015,31,031,"Alt-Wiedikon",91,91,19,"90-94",21
2015,72,072,"Hottingen",93,93,19,"90-94",16
2015,122,122,"Schwamendingen-Mitte",81,81,17,"80-84",61
2015,123,123,"Hirzenbach",91,91,19,"90-94",26
2015,81,081,"Seefeld",91,91,19,"90-94",6
2015,41,041,"Werd",96,96,20,"95-99",1
2015,61,061,"Unterstrass",86,86,18,"85-89",66
2015,33,033,"Friesenberg",70,70,15,"70-74",82
2015,33,033,"Friesenberg",95,95,20,"95-99",15
2015,121,121,"Saatlen",85,85,18,"85-89",30
2015,13,013,"Lindenhof",92,92,19,"90-94",1
2015,63,063,"Oberstrass",86,86,18,"85-89",44
2015,111,111,"Affoltern",86,86,18,"85-89",82
2015,71,071,"Fluntern",70,70,15,"70-74",93
2015,121,121,"Saatlen",93,93,19,"90-94",5
2015,111,111,"Affoltern",90,90,19,"90-94",35
2015,63,063,"Oberstrass",93,93,19,"90-94",14
2015,12,012,"Hochschulen",84,84,17,"80-84",5
2015,122,122,"Schwamendingen-Mitte",89,89,18,"85-89",34
2015,101,101,"Höngg",71,71,15,"70-74",214
2015,44,044,"Hard",83,83,17,"80-84",35
2015,83,083,"Weinegg",91,91,19,"90-94",21
2015,31,031,"Alt-Wiedikon",75,75,16,"75-79",73
2015,24,024,"Enge",80,80,17,"80-84",40
2015,21,021,"Wollishofen",98,98,20,"95-99",4
2015,51,051,"Gewerbeschule",88,88,18,"85-89",16
2015,23,023,"Leimbach",97,97,20,"95-99",1
2015,115,115,"Oerlikon",91,91,19,"90-94",40
2015,71,071,"Fluntern",93,93,19,"90-94",15
2015,34,034,"Sihlfeld",83,83,17,"80-84",80
2015,115,115,"Oerlikon",78,78,16,"75-79",117
2015,92,092,"Altstetten",87,87,18,"85-89",115
2015,119,119,"Seebach",86,86,18,"85-89",85
2015,82,082,"Mühlebach",79,79,16,"75-79",25
2015,34,034,"Sihlfeld",89,89,18,"85-89",45
2015,101,101,"Höngg",86,86,18,"85-89",120
2015,61,061,"Unterstrass",91,91,19,"90-94",46
2015,119,119,"Seebach",74,74,15,"70-74",165
2015,13,013,"Lindenhof",94,94,19,"90-94",2
2015,61,061,"Unterstrass",96,96,20,"95-99",12
2015,82,082,"Mühlebach",91,91,19,"90-94",8
2015,44,044,"Hard",75,75,16,"75-79",54
2015,111,111,"Affoltern",97,97,20,"95-99",5
2015,115,115,"Oerlikon",96,96,20,"95-99",7
2015,52,052,"Escher Wyss",89,89,18,"85-89",4
2015,13,013,"Lindenhof",82,82,17,"80-84",6
2015,119,119,"Seebach",83,83,17,"80-84",82
2015,61,061,"Unterstrass",90,90,19,"90-94",44
2015,119,119,"Seebach",95,95,20,"95-99",9
2015,72,072,"Hottingen",95,95,20,"95-99",12
2015,92,092,"Altstetten",70,70,15,"70-74",250
2015,21,021,"Wollishofen",95,95,20,"95-99",16
2015,71,071,"Fluntern",95,95,20,"95-99",9
2015,81,081,"Seefeld",88,88,18,"85-89",7
2015,24,024,"Enge",96,96,20,"95-99",4
2015,52,052,"Escher Wyss",8,8,2,"5-9",27
2015,33,033,"Friesenberg",91,91,19,"90-94",27
2015,111,111,"Affoltern",95,95,20,"95-99",14
2015,63,063,"Oberstrass",7,7,2,"5-9",89
2015,52,052,"Escher Wyss",93,93,19,"90-94",1
2015,83,083,"Weinegg",83,83,17,"80-84",29
2015,51,051,"Gewerbeschule",9,9,2,"5-9",59
2015,92,092,"Altstetten",88,88,18,"85-89",97
2015,91,091,"Albisrieden",85,85,18,"85-89",141
2015,81,081,"Seefeld",83,83,17,"80-84",14
2015,13,013,"Lindenhof",85,85,18,"85-89",3
2015,71,071,"Fluntern",90,90,19,"90-94",21
2015,81,081,"Seefeld",96,96,20,"95-99",2
2015,74,074,"Witikon",93,93,19,"90-94",28
2015,42,042,"Langstrasse",87,87,18,"85-89",14
2015,12,012,"Hochschulen",85,85,18,"85-89",11
2015,34,034,"Sihlfeld",92,92,19,"90-94",39
2015,123,123,"Hirzenbach",87,87,18,"85-89",44
2015,44,044,"Hard",99,99,20,"95-99",1
2015,123,123,"Hirzenbach",98,98,20,"95-99",4
2015,42,042,"Langstrasse",95,95,20,"95-99",0
2015,42,042,"Langstrasse",98,98,20,"95-99",1
2015,91,091,"Albisrieden",9,9,2,"5-9",140
2015,12,012,"Hochschulen",93,93,19,"90-94",4
2015,121,121,"Saatlen",9,9,2,"5-9",102
2015,102,102,"Wipkingen",80,80,17,"80-84",64
2015,21,021,"Wollishofen",86,86,18,"85-89",93
2015,91,091,"Albisrieden",87,87,18,"85-89",92
2015,101,101,"Höngg",95,95,20,"95-99",19
2015,51,051,"Gewerbeschule",93,93,19,"90-94",5
2015,123,123,"Hirzenbach",85,85,18,"85-89",72
2015,24,024,"Enge",89,89,18,"85-89",26
2015,74,074,"Witikon",98,98,20,"95-99",2
2015,83,083,"Weinegg",85,85,18,"85-89",17
2015,13,013,"Lindenhof",71,71,15,"70-74",13
2015,71,071,"Fluntern",89,89,18,"85-89",27
2015,102,102,"Wipkingen",95,95,20,"95-99",17
2015,51,051,"Gewerbeschule",85,85,18,"85-89",26
2015,101,101,"Höngg",9,9,2,"5-9",204
2015,24,024,"Enge",99,99,20,"95-99",5
2015,91,091,"Albisrieden",97,97,20,"95-99",6
2015,91,091,"Albisrieden",82,82,17,"80-84",126
2015,82,082,"Mühlebach",93,93,19,"90-94",11
2015,31,031,"Alt-Wiedikon",96,96,20,"95-99",5
2015,13,013,"Lindenhof",91,91,19,"90-94",2
2015,115,115,"Oerlikon",75,75,16,"75-79",103
